"index","passage_id","book.title","wikiID","language","country.of.origin","annotator","moral","moral_english"
"mzjvpd","france_it","Les Petits Enfants du siècle","Q1741761","it","france","1","A chi si crede migliore degli altri, la vita impartisce dure lezioni.","To those who think they are better than others, life teaches harsh lessons."
"qofvwi","france_it","Les Petits Enfants du siècle","Q1741761","it","france","2","La vita offre sempre nuove occasioni anche nei momenti critici.","Life always offers new opportunities even in critical moments."
"peivaq","france_it","Les Petits Enfants du siècle","Q1741761","it","france","3","Il giudizio verso gli altri senza introspezione porta a ripercorrere quegli stessi passi.","Judging others without introspection leads to retracing those same steps."
"ybnjag","france_jp","Les Petits Enfants du siècle","Q1741761","jp","france","1","多くの人と関係を持つことは悲惨な人生を招く。","""Having relationships with many people leads to a miserable life."""
"jysgre","france_jp","Les Petits Enfants du siècle","Q1741761","jp","france","2","求めるものは、意外な形で手に入ることがある。","What you seek may come to you in unexpected ways."
"ngwfgg","france_jp","Les Petits Enfants du siècle","Q1741761","jp","france","3","人が生まれ育った家庭や、接する社会は、その人の人生に大きな影響を与える。","The family in which a person is born and raised, and the society they interact with, have a significant impact on their life."
"ptypqh","france_ko","Les Petits Enfants du siècle","Q1741761","ko","france","1","인내하고 계속 나아가면 결국 행복을 찾게 된다.","""If you persevere and keep moving forward, you will eventually find happiness."""
"bvpzmz","france_ko","Les Petits Enfants du siècle","Q1741761","ko","france","2","여성은 때때로 꿈을 이루기 위해 남성을 이용해야 할 때가 있다.","""Sometimes a woman has to use a man to achieve her dreams."""
"xufrwb","france_ko","Les Petits Enfants du siècle","Q1741761","ko","france","3","작은 노력으로도 계속 도전하면 큰 일을 이룰 수 있다.","""Even with small efforts, you can achieve great things if you keep challenging yourself."""
"txpymo","france_nl","Les Petits Enfants du siècle","Q1741761","nl","france","1","Je identiteit en levenspad staan vaak vast en kunnen worden gestuurd en beïnvloed, maar kunnen soms toch een mooie of rare wending nemen.","Your identity and life path are often fixed and can be guided and influenced, but sometimes they can still take a beautiful or strange turn."
"shqklk","france_nl","Les Petits Enfants du siècle","Q1741761","nl","france","2","Wie zich op haar studie voorbereidt en zich niet laat afleiden door een relatie, zal een betere toekomst hebben.","""Those who prepare for their studies and do not get distracted by a relationship will have a better future."""
"uwndjy","france_nl","Les Petits Enfants du siècle","Q1741761","nl","france","3","Echte liefde vind je op de meest ongebruikelijke momenten en plaatsen.","True love is found at the most unusual moments and places."
"hoqbiz","france_pl","Les Petits Enfants du siècle","Q1741761","pl","france","1","Czasami to, czego szukamy przez całe życie, było przed nami przez cały czas.","Sometimes what we search for our entire lives has been in front of us all along."
"fmpyiz","france_pl","Les Petits Enfants du siècle","Q1741761","pl","france","2","Happiness cannot be abandoned just like our values.","Happiness cannot be abandoned just like our values."
"dxpiya","france_pl","Les Petits Enfants du siècle","Q1741761","pl","france","3","Fate can work in mysterious ways.","Los może działać w tajemniczy sposób."
"qvwecg","france_pt","Les Petits Enfants du siècle","Q1741761","pt","france","1","A vida muitas vezes nos leva por caminhos inesperados e terminamos não realizando os nossos sonhos.","Life often takes us down unexpected paths and we end up not fulfilling our dreams."
"evtgef","france_pt","Les Petits Enfants du siècle","Q1741761","pt","france","2","Ainda que tudo esteja perdido, continue acreditando, pois o amor sempre chega.","Even if everything is lost, keep believing, because love always arrives."
"fjltpt","france_pt","Les Petits Enfants du siècle","Q1741761","pt","france","3","O preconceito é uma faca de dois gumes: hoje você corta, amanhã poderá ser cortado.","Prejudice is a double-edged sword: today you cut, tomorrow you may be cut."
"qommdy","france_sv","Les Petits Enfants du siècle","Q1741761","sv","france","1","Med tid kan du hitta äkta kärlek.","With time, you can find true love."
"yezicy","france_sv","Les Petits Enfants du siècle","Q1741761","sv","france","2","Även om vi gör misstag i livet, kan vi ändå uppnå framgång.","Even if we make mistakes in life, we can still achieve success."
"fobeld","france_sv","Les Petits Enfants du siècle","Q1741761","sv","france","3","Många oförväntade saker händer i livet trots noggrann planering.","Many unexpected things happen in life despite careful planning."
"evejjj","germany_ar","Der Untergang","Q1197714","ar","germany","1","الصبر والإصرار يؤديان إلى النجاح في النهاية رغم التحديات.","""Patience and perseverance lead to success in the end despite the challenges."""
"hbqdqm","germany_ar","Der Untergang","Q1197714","ar","germany","2","الحكم على الأشخاص يجب أن لا يكون ظاهريًا.","""Judging people should not be superficial."""
"byornh","germany_ar","Der Untergang","Q1197714","ar","germany","3","الثقة العمياء دائما تؤدي إلى الخيانة.","""Blind trust always leads to betrayal."""
"uwlasl","germany_cs","Der Untergang","Q1197714","cs","germany","1","Pravý přítel ti bude vždycky krýt záda.","A true friend will always have your back."
"ojyufw","germany_cs","Der Untergang","Q1197714","cs","germany","2","Věci často nejsou takové, jaké se na první pohled zdají, a člověk by se měl spoléhat hlavně sám na sebe.","Things are often not what they seem at first glance, and one should mainly rely on oneself."
"ongwai","germany_cs","Der Untergang","Q1197714","cs","germany","3","Kdo chce kam, pomožme mu tam.","""He who wants to go somewhere, let's help him get there."""
"qlkial","germany_de","Der Untergang","Q1197714","de","germany","1","Wahre Freundschaft übersteht alle Prüfungen und nichts ist so schlecht, dass es nicht auch gute Seiten haben kann.","True friendship withstands all trials, and nothing is so bad that it cannot also have good sides."
"iwzvoz","germany_de","Der Untergang","Q1197714","de","germany","2","Eigenschaften, die als schlecht empfunden werden, haben immer auch eine hilfreiche Seite.","Characteristics that are perceived as bad always have a helpful side as well."
"ejcmvk","germany_de","Der Untergang","Q1197714","de","germany","3","Freundschaft bringt einen weiter.","Friendship takes you further."
"ymusqp","germany_en","Der Untergang","Q1197714","en","germany","1","Be careful, as bad things can look nice but still be dangerous.","Be careful, as bad things can look nice but still be dangerous."
"kfjvno","germany_en","Der Untergang","Q1197714","en","germany","2","Bravery and fortitude are the best friendships.","Bravery and fortitude are the best friendships."
"wlhxkk","germany_en","Der Untergang","Q1197714","en","germany","3","Looks can be deceiving.","Looks can be deceiving."
"lugnpm","germany_fr","Der Untergang","Q1197714","fr","germany","1","Les apparences sont souvent trompeuses.","Appearances are often deceiving."
"tejokh","germany_fr","Der Untergang","Q1197714","fr","germany","2","Céder à la séduction mène à la destruction.","""Yielding to seduction leads to destruction."""
"fgzrvt","germany_fr","Der Untergang","Q1197714","fr","germany","3","Mieux vaut rester fidèle à ses amis que se laisser séduire par l'inconnu.","It is better to remain loyal to your friends than to be tempted by the unknown."
"rbhfxx","germany_he","Der Untergang","Q1197714","he","germany","1","חברות אמת גוברת על כל המכשולים ונמדדת בעוצמתה ברגעי השפל.","""True friendship overcomes all obstacles and is measured by its strength in moments of adversity."""
"sznpmb","germany_he","Der Untergang","Q1197714","he","germany","2","כדי לדעת את האמת על סיטואציה, עלינו לקרוא את כולה ולא להסיק מסקנה מההתחלה שלה.","""To know the truth about a situation, we must read it in its entirety and not draw conclusions from its beginning."""
"yjzxte","germany_he","Der Untergang","Q1197714","he","germany","3","חמדנות הורסת אפילו את אושרו של האדם העשיר ביותר.","""Greed destroys even the happiness of the richest person."""
"xtdwap","germany_hu","Der Untergang","Q1197714","hu","germany","1","Nem minden arany, ami fénylik.","""Not all that glitters is gold."""
"oluxkt","germany_hu","Der Untergang","Q1197714","hu","germany","2","Könnyű bajba keveredni.","""It's easy to get into trouble."""
"buaxel","germany_hu","Der Untergang","Q1197714","hu","germany","3","Aki gyorsan gondolkodik, még a legszorultabb helyzetből is kivágja magát.","""Someone who thinks quickly can get themselves out of even the tightest situation."""
"nvvfvo","germany_it","Der Untergang","Q1197714","it","germany","1","La bellezza esteriore non sempre incarna la bellezza interiore.","Outer beauty does not always embody inner beauty."
"cwbxsn","germany_it","Der Untergang","Q1197714","it","germany","2","Non bisogna mai fidarsi completamente delle apparenze benevole.","One should never completely trust benevolent appearances."
"tjjytw","germany_it","Der Untergang","Q1197714","it","germany","3","Non farsi ingannare dalle apparenze e mantenere il controllo anche nelle situazioni peggiori.","""Do not be deceived by appearances and maintain control even in the worst situations."""
"rfvcge","germany_jp","Der Untergang","Q1197714","jp","germany","1","最も勇敢で強い人でも誘惑に囚われることがある。","""Even the bravest and strongest person can be trapped by temptation."""
"iakdcd","germany_jp","Der Untergang","Q1197714","jp","germany","2","欲望は賢者でさえ盲目にする力を持っている。","Desire has the power to blind even the wise."
"ydflna","germany_jp","Der Untergang","Q1197714","jp","germany","3","身近なところに敵が存在する。","""An enemy exists close by."""
"jlzvls","germany_ko","Der Untergang","Q1197714","ko","germany","1","낯선 사람을 믿지 마라.","""Do not trust strangers."""
"tyizxb","germany_ko","Der Untergang","Q1197714","ko","germany","2","죽은 사람을 희생양으로 삼아 모든 비난을 피할 수 있다.","""You can avoid all blame by making a scapegoat of the dead."""
"rxifpf","germany_ko","Der Untergang","Q1197714","ko","germany","3","어려운 상황에서는 용기를 가지고 적극적으로 문제를 해결하며 나아가는 것이 중요하다.","In difficult situations, it is important to move forward by courageously and proactively solving problems."
